title_norm,level_1,level_2
رفتگر جاروب خیابان,9,96
کارگرساده مکانیک خمیرسازی,9,93
پرسکاری کارگرساده,9,93
کمک راننده لودرچوببری,9,93
کندن جوی باغ,9,92
کمک مکانیک ذوب,9,93
کارگر انبار فنی ریخته گری,9,93
کارگر موقت یکساله قسمت تولید نخ بخش پلی استر,9,93
کارگر ساده تخریب ساختمان,9,93
کارگران ساده خدمات,9,91
کارگر شرکت پیمانکاری برق,9,93
کارگر کارگاه تهیه ماسه چدن ریزی,9,93
بسته بندی نخ,9,93
کارگرساده تهیه کاغذ,9,93
کارگرخدمات فنی ساختمان و خطوط ریلی,9,93
حمل وجابه جایی بار,9,93
کارگر حملونقل ونظافت محوطه خدمات,9,91
کارگر ساختمانی عمومی,9,93
کارورتولیدو,9,93
کارگرکمک بافنده,9,93
نظافت و تمیزکاری,9,91
مستخدم محلی معدن,9,93
کارگرنظافتچی شربت پودر,9,91
کمک راننده خدمات کارگری,9,93
کارگر ساده بافندگی پنبه,9,93
کارگر شهرداری,9,96
کارگرساختمانی و راهسازی معدن,9,93
مامور بخدمت,9,91
کارگرانبارموادشیمیایی,9,93
کارگربهداری معدن,9,93
کارورز تولید,9,93
کارگر برداشت ترانشه واکلون,9,93
کارگر انبار قسمت تاپس بخش اکریلیک,9,93
کارگر بارگیری مواد اولیه,9,93
کارگرساده انبارقطعات,9,93
جمع اوری وحمل زباله,9,96
کارگرتخلیه وبارگیری مواداولیه داروئی توزین م,9,93
کارگرساده بخار,9,93
کاراموزتولید تولیدبخار,9,93
کارگرانباربستهبندی انباربستهبندیداروئی,9,93
کارگرکمکی فنی وتولید,9,93
کارگرساده نصب,9,93
کمک ماشین کار,9,93
کارگرساده حمل بروک تولیدکاغذ,9,93
کارگرساده موادسازی,9,93
کارگرحمل ونقل موادو رنگ قدیم,9,93
کارگر خط بسته بندی با دست,9,93
کارگر خشک کارگرنوار,9,93
خدماتی منزل,9,91
کارگر روده پاکن,9,93
کارگرانبارمرتبه,9,93
نظافتچی حلاجی ریسندگی,9,91
کارگرنیمه ماهر,9,93
کارگر کارآموز,9,93
روغن کار,9,93
کمک مراقبتکاربازگشت سرباره درجه 1 ذوب,9,93
نظافتچی ماشین بافندگی,9,91
کارگربسته بندی با دست,9,93
کمک متصدی تهیه خمیربیسکویت,9,94
کارگر عموممی ارشد,9,93
کارگربخش صنعت,9,93
کارگرتخلیه وبارگیری چوب,9,93
رفتگروکارگرحمل زباله,9,96
کارگر خدمات موادریزی,9,93
ز اعتکار,9,93
دافررینگ,9,93
کارگر تخلیه و حمل,9,93
متصدی امور خدماتی,9,91
کارگرساختمانی امورشهر,9,93
خط کشی,9,93
کارگرشستوشو,9,91
کارگرخدمات شهری رفتگر امورشهری,9,96
مسئول تخلیه سوخت,9,93
ماسوره تمیز کن مقدمات بافندگی,9,93
کارگرتفاله خشک کنی,9,93
کارگر دو مقدمات,9,93
بسته بند محصولات کاغذی,9,93
کمک ابکار,9,93
کارگران مشاغل ساده تولید صنعتی,9,93
کارگربسته بندی بسته بندی بهداشتی وارایشی,9,93
خدماتی سالن تولید,9,91
کارگری سیب زمینی چینی,9,92
کارگر ریگلم,9,93
شاگردکاه گل مال,9,93
کارگرتسمه حمل خمیر,9,93
کارگر ساده تخلیه بار دستی,9,93
کارگررتخلیه بار,9,93
کارگرخدماتی درجه 1,9,91
کضارا کراذااغ ع غئسع ساعشراک,9,93
کارگرانبارخام,9,93
کارگرتنظیف رفتگر,9,96
کارگرحمل جنس فلایر,9,93
کارگرساده مکانیک ماشینها,9,93
کارگر عدل و ضایعات بخش اکریلیک,9,93
کارگر استخراج و آماده سازی معدن زیرزمینی,9,93
شاگرد لودر,9,93
کارگر کنترل وبسته بندی,9,93
کارگر کمکی تولید قسمت تاپس بخش اکریلیک,9,93
کارگرموقت فنی وعملیات وکنترل,9,93
کارگر لعاب زنی وپرداخت,9,93
کارگرتست لوله,9,93
کمک مکانیک کشش,9,93
نی بری,9,93
و کار,9,93
کارگر تعمیرات خط,9,93
کارگر بلوک زن معدن و ساختمانی,9,93
کارگر توزین مواد,9,93
کارگرتولیدی درجه سه بافندگی,9,93
کارگرخط تولیدکیسه سیمان,9,93
کارگرآزمایشگاه برق,9,93
کارگرالکترودر,9,93
کارورزدوتولید,9,93
کارگرساده برق ماشینهای کاغذوخمیرسازی,9,93
کارگر فضای سبز شهرداری,9,92
کارگر بسته بندی مایعات تزریقی,9,93
کارگر خدمات عمومی واداری,9,91
متصدی جعبه پر و خالی,9,93
کارگر بخش انبار,9,93
کارگر تخلیه و بارگیری کالا,9,93
کارگرتوزین موادسبک وسنگین,9,93
باربرانبارارد,9,93
نظافتچی داخل تونل,9,91
کارگرانبارداری درجه 1 انبار,9,93
کمک علامت گذاروتعیین کننده خط معدن,9,93
کارگر دکل بند حفاری,9,93
کارگرفیلتر پ,9,93
کارگرقسمت تکمیل اتاق,9,93
روفتگر سالن بافندگی روتی جاروکش,9,91
ریگرانبارمواداولیه,9,93
مقدمات ریسندگی,9,93
کمک مراقبتکارآسیابهاتغلیظ,9,93
کارگرکمکی ماشینی کنترل برزگ,9,93
کارگربسته بندی وبارگیری,9,93
امور خط کشتار تخلیه روده,9,93
کارگرانبارچوب,9,93
کارگررنگ و رنگ قدیم,9,93
کارگر دولاتابی,9,93
انباردار و نظافتچی,9,93
کارگر درجه 1 انبار,9,93
کارگر ساده بوجاری,9,92
کمک کارخانه,9,93
خدمات تولید کارگرریسندگی,9,93
