title_norm,label_1,isco_sub_major_group
سمباده کاردرجه,7,72
سمباده کاررنگ رویه نقاشی فایبرگلاس,7,72
سمساز,7,72
سمنت کار,7,71
سمپاش ساختمانی ایمنی,7,71
سمپاش وتعمیرکار,7,72
سمی ورسته,7,72
سناده,7,72
سنباده,7,72
سنباده نئوپان,7,75
سنباده ورزالیت,7,75
سنباده کشی,7,72
سنتردریل اهنگری تولیدات,7,72
سنجاق زن ماهر,7,72
سنجاق ساز,7,72
سند بلاست کار مهدسی و ساخت و تعمیر تجهیزات دوار,7,72
سند بلاست کار و رنگ آمیز,7,72
سندبدات کارونقاش,7,72
سندبلاست,7,72
سندبلاست رنگهای صنعتی,7,72
سندبلاست ورنگ,7,72
سندبلاست کار درجه دو,7,72
سندبلاست کار درجه یک,7,72
سندبلاست کار ساختمان,7,71
سندبلاست کارورنگ کارصنعتی,7,72
سندپلاس رنگ آمیزی,7,72
سندپلاست کاردرجه,7,72
سنک ساب دستی وکله بر,7,71
سنگ بلوک زن با دست,7,71
سنگ تراش تزیین کار,7,71
سنگ تراش تولید,7,71
سنگ تراش درجه 2,7,71
سنگ تراش درجه 3,7,71
سنگ دوز,7,75
سنگ زدن,7,72
سنگ زن اتصالات,7,72
سنگ زن ارشدساخت ابزاروقالب,7,72
سنگ زن تعمیرات خدمات فنی ریخته گری,7,72
سنگ زن تمیزکاری,7,72
سنگ زن تیزکار,7,72
سنگ زن درجه 1 مهندسی,7,72
سنگ زن درجه 3 مهندسی,7,72
سنگ زن درجه تراشکاری,7,72
سنگ زن درجه مهندسی,7,72
سنگ زن درواره ای,7,72
سنگ زن شیشه دستی,7,73
سنگ زن غلتک,7,72
سنگ زن قطعات,7,72
سنگ زن لب فنر,7,72
سنگ زن لعابکاری,7,73
سنگ زن مهندسی,7,72
سنگ زن و ابزار تیز کن,7,72
سنگ زن وحاشیه پاک کن,7,72
سنگ زن وشیشه شوی نشکن,7,72
سنگ زن وکرم کار,7,72
سنگ زن پالایشگاه,7,72
سنگ زن چشم فنر,7,72
سنگ زنی ودرام,7,72
سنگ سمباده ساز,7,72
سنگ شکن سنگ تزئینی,7,71
سنگ شکن وآسفالت کار,7,71
سنگ فرش خیابان,7,71
سنگ و نوردرن,7,71
سنگ پز,7,71
سنگ چسبان,7,71
سنگ کار تخت,7,71
سنگ کار قطعات ریخته گری درجه 1 و و,7,72
سنگ کار و سنگ تراش استادکارارشدودرجه و,7,71
سنگ کار پایه ساز,7,71
سنگ کاراتاقسازی آمبولانس,7,72
سنگ کارتولید,7,72
سنگ کاردرجه,7,71
سنگ کاردرجه یک,7,71
سنگ کاردقیق,7,72
سنگ کارفایبرگلاس,7,71
سنگ کارقالبسازی,7,72
سنگ کارمونتاژکار,7,72
سنگ کارنقطه جوش,7,72
سنگ کارها سنگ تراش ها سنگ شکن ها و سنگ تراش های تزیین کار ساختمانی,7,71
سنگ کارچشمی,7,72
سنگ گار,7,71
سنگبرتونل,7,71
سنگبرشیشه پنجره,7,73
سنگبری,7,71
سنگبری وحمل وبارگیری,7,71
سنگرچی,7,71
سنگزن cnc,7,72
سنگزن درجه 1,7,72
سنگزن درجه 4,7,72
سنگزن درجه 5,7,72
سنگزن درجه 6,7,72
سنگزن درجه 7,7,72
سنگزن سیلندر,7,72
سنگزن شاتون تراشی,7,72
سنگزن هونینگ کارسیلندر,7,72
سنگزن و آج زن کوکیل,7,72
سنگزن و بالانس کار,7,72
سنگزن وتمیزکارشوروماسه اسیاب,7,72
سنگزن وتیزکار,7,72
سنگزن وتیزکاردرجه یک,7,72
سنگزن ومذاب ریز,7,72
سنگساب,7,71
سنگکارمستقل,7,71
سواس باف,7,75
سوخت روی چرم,7,73
سوخت روی چوب,7,73
سودرونیک کار,7,72
سودکار ابکاری,7,72
سوراخ کار و تراشکار اتصالات,7,72
سوراخ کن,7,72
سوراخ کن دستک,7,72
سوراخکار آلومینیوم,7,72
سوراخکار درجه 1,7,72
سوراخکار درجه 2,7,72
سوراخکار درجه 3,7,72
سوراخکار درجه 4,7,72
سوراخکار درجه 5,7,72
سوراخکاروشینه کش,7,72
سوراخکاروقلاویزکار,7,72
سوراخکاری درب موتوروصندوق,7,72
سوراخکاری قطعات سنگین,7,72
سورت ازپوست تابند چرم,7,75
سورت بند ازپوست تاچرم,7,75
سورخکاری و سوهانکاری,7,72
سورن دوز,7,75
سوزاندن نخهای انتهای نورد خام بافندگی,7,75
سوزن دوزی بلوچستان,7,73
سوزن دوزی لباس,7,73
سوزن زنی,7,75
سوزن پلاتین چین ژاگارد بافندگی,7,75
سوزن کار,7,75
سوزن کنف,7,75
سوزن کوب,7,75
سوزندوزی برا خودش,7,73
سوزندوزی ترکمن,7,73
سوزندوزی سنتی سنگسر,7,73
سوزنچی لعاب,7,73
سولفورکوب,7,75
سوله ساز,7,72
سوندازکار اجربر کوتینگ زن,7,71
سوهان پز,7,72
سوهان کار فلزات,7,72
سوهانکار,7,72
سوهانکار تعمیرخانه,7,72
سوهانکار و مکانیک تعمیرات درجه یک,7,72
سوهانکار وجوشکار,7,72
سوهانکار وسنگ کار وتعمیرکار,7,71
سوهانکار وسنگ کار وتعمیرکار درجه یک,7,71
سوهانکار وقالبسازدرجه دو,7,72
سوهانکار وقالبسازدرجه سه,7,72
سوهانکار ومکانیک تعمیرات درجه دو,7,72
سوهانکارتعمیرات درجه 1,7,72
سوهانکارتعمیرات درجه 2,7,72
سوهانکاردرجه,7,72
سوهانکاروقالبسازدرجه یک,7,72
سپرساز,7,72
سپرساز اتومبیل,7,72
سپست قطعه سازی و ماشین کاری,7,72
سپور,7,91
سکمه دوزی,7,73
سکه دوز,7,73
سکه دوزی بلوچستان,7,73
سگک بند,7,75
سگک زن,7,75
سی ان سی کار,7,72
سیاه دوز,7,73
سیاه قلم,7,73
سیاه چادربافی,7,75
سیت زنی دستی,7,75
سیس باف,7,73
سیلرکار,7,71
سیلندرتراش,7,72
سیلندرساز,7,72
سیلندرساز گاز,7,72
سیلندرسازوآبکار,7,72
سیلوی خاک,7,71
سیلوی فلزی ساز,7,72
سیلک ساز,7,73
سیلک کار,7,73
سیلک کار مدارچاپی,7,73
سیم بازکنی,7,71
سیم باف,7,72
سیم بان خط هوایی,7,74
سیم بان درجه یک,7,74
سیم بان نوسازی,7,74
سیم بان و تعمیرکار برق صنعتی,7,74
سیم بان وتعمیرکارتلفن,7,74
سیم بان وقرقبان,7,74
سیم بان وقرقبان درجه 3,7,74
سیم بر,7,74
سیم بند,7,71
سیم بند حمل بار,7,93
