title_norm,label_1,level_2
متصدی اسکن,4,44.0
متصدی اشتغال,4,44.0
متصدی اشتغال بانام,4,44.0
متصدی اصناف,4,41.0
متصدی اطلاعات اورژانس,4,42.0
متصدی اطلاعات دفتر مرکزی انتظامات بخش منابع انسانی,4,42.0
متصدی اطلاعات و توزین,4,43.0
متصدی اطلاعات وبازرسی یو پی اچ,4,44.0
متصدی اطلاعات پست بانام,4,42.0
متصدی اعتبارات,4,43.0
متصدی اعزام,4,41.0
متصدی اعزام مامورین,4,41.0
متصدی امار,4,43.0
متصدی امار و اطلاعات و گزارشات,4,43.0
متصدی اماربافندگی,4,43.0
متصدی امارحضوروغیاب,4,43.0
متصدی امارواطلاعات واموال حسابداری,4,43.0
متصدی امارگیری مقره تولید,4,43.0
متصدی اموال تجهیزات پزشکی,4,43.0
متصدی امودفتری,4,41.0
متصدی امور اداری اداره پیگیری وزیر,4,41.0
متصدی امور اداری اداره کل اطلاعات و مطبوعات,4,41.0
متصدی امور اداری اداره کل امورسیاسی بین المللی,4,41.0
متصدی امور اداری اداره کل خلیج فارس و خاورمیانه,4,41.0
متصدی امور اداری اداره کل فاوا فناوری و اطلاعات,4,41.0
متصدی امور اداری دفتربررسی گزارشها,4,41.0
متصدی امور اداری فولاد مبارکه,4,41.0
متصدی امور اداری و بیمه ای,4,41.0
متصدی امور اداری کارشناس اداری ارشد رتبه 4,4,41.0
متصدی امور اداری کارپرداز,4,41.0
متصدی امور ارزی,4,43.0
متصدی امور ازمون مرکز و پذیرش ازمون,4,41.0
متصدی امور اصناف و پیشه وران,4,41.0
متصدی امور اطلاع رسانی و رسانه,4,42.0
متصدی امور انبار ماشین الات,4,43.0
متصدی امور اوقاف,4,41.0
متصدی امور اوقافی و دفتری بانام رمضان الله وردی دشت ار,4,41.0
متصدی امور اوقافی و دفتری خسرو مختاری خسرو مختاری,4,41.0
متصدی امور بارنامه,4,43.0
متصدی امور بازنشستگان,4,42.0
متصدی امور بانکی تحویدار,4,42.0
متصدی امور بانکی تحویلدار,4,42.0
متصدی امور بانکی دایره اعتبارات,4,43.0
متصدی امور بانکی دایره حوالجات,4,43.0
متصدی امور بانکی دایره خرید و فروش ارز وبروات اسنا,4,43.0
متصدی امور بانکی دایره سپرده وخدمات,4,42.0
متصدی امور بندر و گمرکی,4,43.0
متصدی امور تحویل و تهیه امار لکوموتیو ها,4,43.0
