title_norm,label_1,level_2
باغبان سرباز,0,61
گروهبان سوم نیروی هوایی,0,54
نظامی کادر,0,54
استوار دوم نیروی زمینی,0,54
کارمند نظامی,0,54
دانشجوی افسری نیروی هوایی,0,54
افسر برق و الکترونیک لایروب,0,74
ستوانیکم نیروی زمینی,0,54
معاون فرمانده یگان,0,54
مسئول تسلیحات و تجهیزات,0,54
کادر ارتش نظامی,0,54
معاون ذیحساب و مدیر کل امور مالی نیروی انتظامی جمهوری اسلامی ایر,0,12
رزمنده بسیجی,0,54
نیروهای مسلح کادر نیروهای نظامی و انتظامی,0,54
افسر مخابرات,0,35
کادر نیروی انتظامی,0,54
رئیس کل پلیس فتا,0,11
نظامی,0,54
مسئول فرمانده یگان,0,54
گروهبان دوم نیروی هوایی,0,54
مامور پاسگاه نیروی انتظامی,0,54
انجام خدمت وظیفه,0,54
معاون فرمانده,0,54
رئیس فرمانده یگان,0,54
رییس فرمانده یگان,0,54
خدمت مقدس سربازی,0,54
نطامی,0,54
سرباز پیاده نظام,0,54
معاون سیاسی وزارت دفاع و پشتیبانی نیروهای مسلح,0,11
رییس گروه امورانتظامی مرز ومبارزه با قاچاق,0,54
سرباز وظیفه نظامی,0,54
بازرس کل پلیس,0,54
افسر امور اجودانی,0,54
مسوول فرمانده یگان,0,54
سرباز نیروی هوایی,0,54
مدیریت دفتر کل دادسرای نظامی,0,12
سرباز یگان ویژه,0,54
سرجوخه,0,54
سرباز نیروهای مسلح,0,54
خدمت نظام وظیفه,0,54
سرباز ارتش,0,54
کارمند بهداری مربوط به نیرو انتظامی,0,32
کادر نظامی,0,54
پاسبان نیروی انتظامی,0,54
افسر سوپلای بوت,0,54
استوار دوم نیروی هوایی,0,54
رئیس گروه طرح و برنامه و اموزش امور نیروی انتظامی,0,12
سربازسپاه,0,54
سربازارتش,0,54
رئیس فرمانده یگان شیروانچرداول,0,54
فرمانده مستقر بر شناور ناجی,0,54
پیمانکار سپاه,0,71
کارمند نیروی انتظامی,0,54
گروهبان سوم نیروی زمینی,0,54
بسیجی,0,54
رییس کلانتری رییس حوزه انتظامی,0,54
کادرنیروی انتظامی,0,54
وزارت دفاع و پشتیبانی,0,54
فرمانده سپاه کلاله,0,54
ستوانسوم نیروی هوایی,0,54
کادر سپاهی,0,54
سرباز وظیفه نیروی نظامی و انتظامی,0,54
سرگرد نیروی زمینی,0,54
سرباز توپخانه,0,54
نیروهای مسلح نیروی نظامی,0,54
نیروی انتظامی,0,54
پاسگاه نیروی انتظامی,0,54
رئیس فرمانده یگان سامان,0,54
رئیس انبار,1,12
رئیس ایستگاه پرورش واصلاح نژاد,1,13
سرکارگرتولیدتکمیل,1,13
مدیر اجرایی پروژه فولاد,1,13
مدیر تعمیرات و تاسیسات اب,1,13
معاون برنامه ریزی وتوسعه وفن اوری,1,12
رئیس اداره امور اداری وپشتیبانی,1,12
سرپرست قسمت تاسیسات,1,13
سرپرست مکانیک بسته بندی جامدات,1,13
