id,title_norm,label_1
0,کارشناس حسابداری بودجه وگزارشات دیگ بخار,2
1,مسئول ثبت مرکزی,4
2,قایم مقام فناوری اطلاعات,1
3,کارمند تدارکات ارشد,4
4,کارشناس حسابداری عمومی و مالی,2
5,کاردان مدیریت عملکرد و شایستگی ها,3
6,متصدی تهیه دو شربت سازی تهیه مایعات,8
7,کارشناس مطالعات و تحلیل خرابی ماشین آلات حساس,2
8,کارگر درجه 1 نقاشی ریخته گری,7
9,ذیحساب اداره کل تعاون،کار و رفاه اجتماعی استان,1
10,مسول دستگاه تبخیرکننده ها ریکاوری,8
11,کارشناس ارشدسفارشات ملزومات شیمیایی نسوزوضد اسید,2
12,چرخکارژوکی,8
13,معاون دایره امور مالی,1
14,کارشناس ارشد مهندس برق,2
15,نظافتچی عمومی سالن,9
16,چرخکار,8
17,کارشناس مامائی,2
18,اپراتور جرثقیل کارگاه اسلیو,8
19,استاد کار تولید و بهره برداری,3
20,استادماشین رنگرزی ژیگر,8
21,کارگرفنی تعمیرات دوره ای پستهای انتقال,7
22,کمک داربست بند,9
23,تکنسین مسئول ابزار دقیق,3
24,رئیس اداره بهره برداری سد گتوند,1
25,رئیس کارگاه تعمیرات ونوسازی,1
26,ذیحساب,1
27,ماشین کارصفحه تراشکار,7
28,ماشینچی دوورقی,8
29,کارشناس بازرسی اداری و اقتصادی,2
30,کارشناس اموزش و باز اموزی,2
31,مواد غذایی,7
32,مونتاژ کار و جوشکار فن کویل,7
33,کارشناس مسئول بازرسی و رسیدگی به شکایات,2
34,مدیرکل مدیریت بحران,1
35,مدیریت آژانس مسافرتی,1
36,کارشناس ارشد حسابداری تاسیسات,2
37,کارشناس برق و مکانیک,2
38,کارشناس نقشه برداری دریایی,2
39,کارشناس نظارت بر نهاده ها و خوراک دام,2
40,معاون مدیریت خدمات فنی وکشاورزی,1
41,کمک کارشناس برنامه ریزی وکنترل تولید,3
42,کارگرارشد خدمات عمومی,9
43,تکنسین برق آزمایشگاه الکترونیک,3
44,تکنسین برق تصفیه خانه شیمیایی,3
45,دلال ملک و ماشین,3
46,ذیحساب اداره کل اموزش و پرورش فارس,1
47,رئیس مرکز نگهداری و پشتیبانی سیستمهای انتقال بهبهان,1
48,زراعتکار گندم دیمی,6
49,سرپرست نت هوزینگ و ماشین مخصوص,3
50,سرپرست هماهنگی خدمات اجتماعی,3
51,سرپرست واحد آتش نشانی,5
