title_norm,label_1,level_2,job_code
ناظر خطوط اپن تاپ,8,13,1324
ناظر خطوط جنرال لاین,8,13,1324
ناظر خطوط چاپ فلزات,8,13,1321
ناظر دستگاه,8,13,1321
ناظر راه آهن,8,13,1324
ناظر عملیات رمپ,8,13,1324
ناظر عملیات کانتینری,8,13,1324
ناظر فیلینگ و پوکه رسانی,8,13,1321
ناظر قطار,8,13,1324
ناظر لوکوکوتیو,8,13,1324
ناظر لیفتراکها,8,13,1324
ناظر ماشین آلات مواد اولیه فولاد سازی,8,13,1321
ناظر ماشین آلات و کنترل بارگیری,8,13,1324
ناظر ماشین الات سنگین,8,13,1324
ناظر مواد منفجره نمره شمار,8,13,1322
ناظر موتورپل,8,13,1324
ناظر کانتین,8,13,1324
ناظرتخلیه وبارگیری مواد دربنادر,8,13,1324
ناظرتوزین,8,13,1324
ناظرخدماتی عمومی نیروگاه بخار,8,13,1321
ناظرخودروهای سبک نظارت,8,13,1324
ناظرماشین های چاپ و لاک,8,13,1321
کارآموزکمک خلبانی,8,31,3153
کاردان اعزام و سیر و حرکت قطارها,8,31,3139
کاردان تست شلنگ ها,8,31,3115
کارگر کارگر ارشد شیفت و روز بخش برنامه ریزی تولید و کنترل,8,31,3122
کارگر کارگر ارشد شیفت و روز بخش پلی استر,8,31,3122
کارگر کنترل کیفیت تولید آهک,8,31,3111
کارگر کنترل کیفیت تولید سیمان,8,31,3111
کارگر کنترل کیفیت تولید کلینکر,8,31,3111
کارگر کوره سرشیفت خنک کن,8,31,3122
کارگرموادخام سرشیفت,8,31,3122
کاپیتان هواپیما,8,31,3153
کمکی سرپرست شیفت لمبو,8,31,3122
کنترل مونتاژدرجه و سالن,8,31,3119
کنترل نهائی درجه سالن,8,31,3119
کنترولر شیفت,8,31,3139
کنترولردرجه مهندسی صنعتی تکمیل کتن,8,31,3119
کنترولردرجه چاپ وفیکسه تکمیل گردباف,8,31,3119
کیوتین وال وکنترل ضایعات,8,31,3119
کیلونویس تمام تاب,8,43,4321
کیلونویس ریسندگی,8,43,4321
کیلونویس رینگ و فاخ ماشین,8,43,4321
کیلونویس رینگ وتکمیل,8,43,4321
مسئول رنگ اکستریور سایت شمال,7,71,7131
مسئول ریگری,7,71,7119
مسئول زیباسازی وتاسیسات,7,71,7111
مسئول زیر سازی راهها,7,71,7111
مسئول ساخت و احداث ایستگاه مترو,7,71,7111
مسئول سالن سازی فنی,7,71,7111
مسئول سربندی,7,71,7121
مسئول سنگ شکن وبتون ساز,7,71,7114
مسئول سیالات آب و گاز,7,71,7126
مسئول شیفت ایزوگام,7,71,7124
مسئول شیفت دوم تا سیسات,7,71,7111
مسئول شیفت شیشه نشکن ساختمان,7,71,7125
مسئول شیفت نوسازی,7,71,7111
مسئول عایق,7,71,7124
مسئول عملیات اجرایی بتنی,7,71,7114
مسئول عملیات اسفالت ترمیم وموجگیری,7,71,7111
مسئول قیرزنی,7,71,7124
مسئول لوله,7,71,7126
مسئول لوله ریزی مسئول کوره تاب,7,71,7126
مسئول لوله کشی وحرارت مرکزی,7,71,7126
مسئول لوله کشی گاز صنعتی و ساختمان,7,71,7126
مسئول مرکزبتن,7,71,7114
مسئول مواد ناریه اسمینون,7,71,7119
مسئول موادناریه,7,71,7119
مسئول میله گذاری,7,71,7114
مسئول نازک کاری,7,71,7111
مسئول ناظر آسترکاری,7,71,7123
مسئول ناظر شیفت نسوز و lts,7,71,7112
مسئول نجاری معادن,7,71,7115
مسئول نجاری و تزئینات ساختمانی,7,71,7115
مسئول نجاری وقالب بندی,7,71,7115
مسئول نصب انشعابات,7,71,7126
مسئول نهگداری و تعمیرات ابنیه سا یتهای اقماری,7,71,7111
مسئول نوسازی سازه ها ساخت و نصب,7,71,7111
مسئول نگهداری راه,7,71,7111
مسئول نگهداری و آماده سازی تهران,7,71,7111
مسئول نگهداری و آماده سازی شهرستان,7,71,7111
مسئول نگهداری و تعمیرات ابنیه داخل شرکت,7,71,7111
مسئول نگهداری و تعمیرات ابنیه سایتهای اقماری,7,71,7111
مسئول نگهداشت و تعمیرات و فضای سبز,7,71,7111
مسئول هماهنگ کننده واحدهای ساختمانی نقاشی و,7,71,7131
مسئول واحد بتن ریزی,7,71,7114
مسئول واحد ساختمان و تاسیسات,7,71,7111
مسئول واحد قطعات پیش ساخته,7,71,7119
مسئول واحد نصب و بهره برداری جایگاهها,7,71,7111
مسئول وکارگرنقاش,7,71,7131
مسئول پارتیشن,7,71,7125
مسئول پایه زنی,7,71,7111
مسئول پلسازی,7,71,7111
مسئول پیستوله کاری,7,71,7132
مسئول چاه های عمیق,7,71,7126
مسئول چاهها وشبکه,7,71,7126
مسئول کارگاه اجردستی وکوره سنتی,7,71,7112
مسئول کارگاه ساختمانی شهر,7,71,7111
