title_norm,label_1,level_2,job_code
عضو هییت مدیره حمل و نقل چندوجهی گروه خودروسازی,1,11,1120
عضو هییت مدیره کارخانجات سهامی عام,1,11,1120
رئیس مرکز اموزش سربازان سازندگی,1,13,1345
رئیسhse,1,13,1349
مدیریت کنترل کبفبت,1,13,1349
معاون اداره تعاون کار و رفاه اجتماعی کاشمر,1,13,1344
کارشناس اقامه نمازوقران ومعارف اسلامی مدارس,2,23,2330
متخصص ساخت چندرسانه ای ها,2,25,2513
ع?اس و فیلمبردار,2,26,2651
تکنیسین خمیرسازیهاومنطقه باگاس,3,31,3139
کارشناس اتوماسیون سطح عملیات حرارتی,3,31,3135
تکنیسین نسخه پیچی,3,32,3213
دستیار مامای متخصص,3,32,3222
انباداردرجه انبارمعدن,4,43,4321
حسا بدار اتوبوس رانی,4,43,4311
مسیول حسا بداری اداری و رفاه,4,43,4311
مسیول حسا بداری بیمه و تر خیص,4,43,4312
مسیول حسا بداری تمر کز پرداخت قرار دادها,4,43,4311
مسیول حسا بداری خد ما ت فروش,4,43,4311
مسیول حسا بداری خرید خد ما تی و تسو یه خریدها,4,43,4311
مسیول حسا بداری فروش قطعا ت,4,43,4311
مسیول حسا بداری قرار دادها و لیزینگ,4,43,4311
مسیول حسا بداری قرار دادهای تو لیدی,4,43,4311
مسیول حسا بداری مواد اولیه وغیر دولتی,4,43,4311
مسیول حسا بداری پذ یرش چک و حوا له,4,43,4311
مسیول حسا بداری کا لا ی نیمه ساخته و محصول,4,43,4311
معاون انبار در تخلیه و بارگیری,4,43,4321
خشکبار فرورش,5,52,
دامدا,6,61,6121
مونتاژکار و صافکار ارشد پرداخت,7,72,7224
کاراموز فورمن تزریق,7,72,7223
کاراموزجوشکاری,7,72,7212
ماشین کاردرجه درمخزن سازی قدرت,7,72,7213
تراشکاروقالبند,7,72,7222
سرمکانیکلافلایرشانه,7,72,7233
تکنیسین ارشد تعمیرات برق پمپهای زهکشی,7,74,7412
تکنیسین اسمبل کردن کامپیوتر,7,74,7422
تکنیسین برق فرودگاهی,7,74,7411
نجاروعایق کاردرجه,7,75,7522
وردست نخ پیچ,7,75,7543
کاراموز خیاطی,7,75,7531
گره زن چله کش و آماده کن بافندگی,7,75,7543
سرشیقت تاب,7,75,7543
کاراموزاپراتوراسکروپرس خمیرسازی,8,81,8171
کاراموزنیروگاه,8,81,8182
کارگراسپرال,8,81,8189
کمپرسوروهزن,8,81,8182
کوره بان وووارشد,8,81,8181
ماشینکارتکمیل,8,81,8154
ماشینکاردرجه,8,81,8112
پیکورکاراستخراج,8,83,8342
کاراموزراننده اموزشی امورمعدن,8,83,8311
