title_norm,label_1,level_2,job_code
ارشد تولید آسیاب خلال,8,13,1321
ارشد تولید دیفوزیون,8,13,1321
ارشد تولید سانتریفوژ,8,13,1321
سرپرست حمل نقل وسرویس کارکنان,8,13,1324
سرپرست حمل نی و باگاس,8,13,1324
مدیر پرکنی,8,13,1321
مسئول بخش ترابری سازمان,8,13,1324
آموزگار لکوموتیوران,8,23,2320
مربی رانندگی,8,23,2320
مربی راهنمایی ورانندگی,8,23,2320
مربی ریسندگی,8,23,2320
مربی لوکوموتیورانی,8,23,2320
مربی ماشین آلات بالابر آموزش,8,23,2320
اسیاب مسئول شیفت,8,31,3122
افسر ناوبر پرواز,8,31,3153
بازدید کننده قطار,8,31,3115
بازدید کننده واگن,8,31,3115
بازرس بارگیربخش,8,31,3119
بازرس بارگیری محصولات,8,31,3119
بازرس خط مونتاژفن کویل,8,31,3115
بازرس خط مونتاژهواسازوبرج,8,31,3115
بازرس خط مونتاژپکیچ وکندانسور,8,31,3115
بازرس خط مونتاژکولر کندانسور و تابلو برق,8,31,3119
بازرس خط مونتاژکویل و لوله های مسی,8,31,3115
بازرس خط پانچ وسوراخکاری کنترل کیفیت,8,31,3115
بازرس خودروهای سنگین,8,31,3115
بازرس قطار,8,31,3115
بازرس لکوموتیو,8,31,3115
بازرس مترو,8,31,3112
بازرس مونتاژ,8,31,3115
بازرس مونتاژ باطری های سربی,8,31,3113
بازرس و کنترل چی ماشین آلات معدن,8,31,3117
بازرس پخت تایر,8,31,3133
بازرس کامیونهای حمل سیمان,8,31,3115
توسعه فولاد سازی کارورز مرتبه,8,31,3117
تکنسین ارشدتولید بافندگی,8,31,3139
تکنسین استاکرو اسکراپر,8,31,3115
تکنسین اسیاب,8,31,3115
تکنسین امپول پرکنی درجه 1,8,31,3133
تکنسین امپول پرکنی درجه 2,8,31,3133
تکنسین اوپراتوربویلرکمکی,8,31,3131
تکنسین اپراتوربویلر تانک تغذیه,8,31,3131
تکنسین بلت درام,8,31,3115
تکنسین بهره برداری ro1,8,31,3132
تکنسین بهره برداری برق فشارقوی کیلو ولت,8,31,3131
تکنسین بهره برداری بویلر,8,31,3131
تکنسین بهره برداری تاسیات عمومی و سوخت رسانی,8,31,3134
تکنسین بهره برداری خنثی سازی تصفیه فیزیکی,8,31,3132
تکنسین بهره برداری درجه 4,8,31,3139
تکنسین بهره برداری مخازن فرآورده های نفتی,8,31,3134
خدمه بمب افکن,8,31,3153
راهنما کشتی درجه دو,8,31,3152
راهنما کشتی درجه سه,8,31,3152
راهنما کشتی درجه یک,8,31,3152
راهنما کشتی کارآموز,8,31,3152
راهنمای کشتی,8,31,3152
سر اپراتور منطقه گندله خام ودیسکها,8,31,3135
سر اکیب قطعه سازی,8,31,3122
سر خط رادیاتور پنل,8,31,3122
سر راننده لیفتراک قطعه سازی,8,31,3122
سر روانکار,8,31,3122
سر شیفت استافینگ پنبه,8,31,3122
سر شیفت تولید لوله پلی اتیلن,8,31,3122
سر شیفت خط برش و cnc,8,31,3122
سر شیفت فن ورزریخته گری,8,31,3122
سر شیفت پارافرمالدئید,8,31,3122
سر شیفت کوره و حمام قلع و لهر,8,31,3122
سر کار کر پار کینگ و انتقا ل داخلی پراید و ریو,8,31,3122
سر کار گر باز گشا ئی قطعات,8,31,3122
سر کار گر پار کینگ,8,31,3122
سر کارگر قیچی,8,31,3122
سر گروه توزین,8,31,3122
سرآسیابان موادسیمان واحد,8,31,3122
سراستادکاربهره برداری,8,31,3122
سرخلبان,8,31,3153
سرراهنما هدایت کشتی,8,31,3152
سرپرست آسیاب و ترموفرمینگ,8,31,3122
سرپرست آسیاب و فلوتاسیون,8,31,3122
سرپرست اب وبخارشیفت,8,31,3122
سرپرست اپراتورکوره شاتل,8,31,3122
سرپرست اکسترودراینچ,8,31,3122
شیفت فورمن مواد رسانی,8,31,3122
فرمنسالنبستهبندیمایعاتدستگاهاتیکتزنیوشیر,8,31,3122
فرمنقسمتبستهبندیانتی بیوتیک نزدیک دستگاه,8,31,3122
فن ورز عملیات ترابری و تعمیرات,8,31,3115
فورمن برش لاستیک,8,31,3122
فورمن بسته بندی,8,31,3122
فورمن بسته بندی وکارتن زنی,8,31,3122
فورمن بسته بندی گروه فنی تعمیرگاه مرکزی,8,31,3122
فورمن بهره برداری تهویه,8,31,3122
فورمن تزریق,8,31,3122
فورمن تزریق مستقیم پی یو,8,31,3122
فورمن تصفیه خانه,8,31,3122
فورمن تصفیه پسابهای صنعتی و شیمیایی,8,31,3122
فورمن توزین مواد,8,31,3122
فورمن تولید پی وی سی,8,31,3122
فورمن تولیدمونتاژشماره ووو,8,31,3122
فورمن خط هولر,8,31,3122
فورمن خط ورق,8,31,3122
فورمن خطوط نهایی برنجی,8,31,3122
فورمن خطوط نهایی وئی بی,8,31,3122
فورمن خطوطنهایی,8,31,3122
فورمن دایره خط,8,31,3122
فورمن دمپایی ابری,8,31,3122
فورمن دیگ وخشک کن نیروگاه مرکزی,8,31,3131
فورمن رانندگان,8,31,3122
فورمن راهبری خودروهای سنگین,8,31,3122
فورمن راهبری ماشین آلات,8,31,3122
فورمن راهبری و تعمیرات خودروهای سنگین,8,31,3122
فورمن سنگ شکن,8,31,3121
فورمن سیکل گردشی,8,31,3122
فورمن شستشو وآزمایش,8,31,3122
فورمن شیفت سیستم بازیابی موادشیمیائی,8,31,3133
فورمن شیمی و دستگاهی فولاد سازی و نورد پیوسته,8,31,3135
فورمن عملیات اولیه,8,31,3122
فورمن ماشین های دوار و تجهیزات قدرت,8,31,3131
فورمن مخلوط کنی,8,31,3122
فورمن پالایش بنزول,8,31,3134
فورمن پخت دولومیت,8,31,3139
فورمن پخت وتصفیه هوا,8,31,3139
فورمن پرس استری وزیپ زنی,8,31,3122
فورمن پرس تسمه پروانه,8,31,3122
فورمن پرس و دورگیر نعلکی,8,31,3122
فورمن پرکنی خط گالن,8,31,3122
فورمن پلیمروبازیابی,8,31,3133
فورمن پودرسازی,8,31,3122
فورمن پکیچ,8,31,3122
فورمن کانوایرهای اتوماتیک وغیراتوماتیک,8,31,3122
فورمن کانوایور سوپر فلکس,8,31,3122
فورمن کلندر دوبلاژ,8,31,3122
فورمن کنورتور ومیکسر,8,31,3135
فورمن کوره های اتیل,8,31,3133
فورمن گوگردزدایی چدن,8,31,3135
لاک زنی ژرسنج کارگر متصدی سرگروه وسرشیفت,8,31,3122
مادون کمک سرپرست رینگ,8,31,3122
مسؤل شارژمواد,8,31,3139
مسئو ل تولید شکر سفید,8,31,3133
مسئول moving parts,8,31,3139
مسئول ro,8,31,3132
مسئول ves قطعات و مجموعه ها,8,31,3122
مسئول آب برق و بخار شماره,8,31,3131
مسئول آبرسانی,8,31,3132
مسئول آبسازی,8,31,3132
مسئول آبسازی و تهیه محلول,8,31,3133
مسئول آسیاب و لوله خم,8,31,3122
مسئول آسیابخانه,8,31,3122
مسئول آماده سازی ادویه وافزودنی,8,31,3133
مسئول آماده سازی مسیر,8,31,3122
مسئول آماده سازی و شارژ آهن قراضه و تخلیه سرباره دستور معاونت بهره برداری,8,31,3135
مسئول اب وگازرسانی وتصفیه فاضلاب بویلر,8,31,3132
مسئول اب ژاول سازی,8,31,3133
مسئول ابرسانی صنعتی,8,31,3132
مسئول اتاق شارژ,8,31,3139
مسئول اتاق فرمان آسیاب ها,8,31,3139
مسئول اتاق فرمان الکتریک واحدهای وو,8,31,3131
مسئول اتاق فرمان مایعات,8,31,3139
مسئول اتاق فرمان نیروگاه,8,31,3131
مسئول اتاق فرمان و بار ریز,8,31,3139
مسئول اتاق فرمان کوره,8,31,3139
مسئول اتاق هند هلد,8,31,3139
مسئول اتاق پمپ,8,31,3139
مسئول اتاق کنترل برق واتوماسیون,8,31,3131
مسئول اتاق کنترل بویلر,8,31,3131
مسئول اتاق کنترل واحد سولفوناسیون,8,31,3133
مسئول اتفاقات شبکه توزیع آب,8,31,3132
مسئول اتوکلاو,8,31,3139
مسئول استحصال گاز,8,31,3134
مسئول استخراج,8,31,3117
مسئول استریپ,8,31,3133
مسئول استنتر,8,31,3139
مسئول بخش تجهیزات اینتریور,8,31,3122
مسئول بخش کنترل تولید تزریق سنگین,8,31,3122
مسئول بخش کنترل تولید داشبورد وکنسول,8,31,3122
رادیو من حفاری,8,35,3521
رادیومن,8,35,3521
مسئول بهره برداری مراکز و شبکه مخابرات,8,35,3522
باسکودارواحد,8,43,4321
باسکول,8,43,4321
باسکول تصفیه خانه تفاله خشک کن رافینری,8,43,4321
باسکول دار انبار مواد اولیه,8,43,4321
باسکول دارحراست,8,43,4321
باسکول دارکارگرفنی,8,43,4321
باسکول وزن کلیه محصولات تولیدی هنگام خروج ازکار,8,43,4321
باسکول چی داخل سالن,8,43,4321
باسکول کار صابون سازی,8,43,4321
باسکول کار پودر,8,43,4321
باسکولچی ریسندگی,8,43,4321
دفترتولیدلوله مستقردرسالن تولیدلوله ومتر,8,43,4322
صنعتگر نوبت دهی صدور تحویل و تحول فرآورده های نفتی,8,43,4323
سرخانه,9,51,5152
علامت دهنده سیگنالیست پذیرگاه بیرونی,8,54,5419
علامت دهنده معدن روباز,8,54,5419
علامت دهنده معدن زیرزمین,8,54,5419
علامت دهنده پذیرگاه تونل,8,54,5419
سرایدار مجتمع مسکونی,9,54,5414
سرایدار مدرسه شهید رکن الدینی,9,54,5414
سرایدار نگهبان اسیاب ایمنی,9,54,5414
سرایدار و امور متفیات,9,54,5414
سرایدار و نگهبان اکبر جزینی _ نمایندگی بخش درچه,9,54,5414
سرایدار و نگهبان حبیب اله باقریان _ مجموعه ورزشی,9,54,5414
سرایدار و نگهبان علیرضا بهمن زیاری _ ورزشگاه شهید ابراهیم نصر _,9,54,5414
سرایدار ورزشگاه,9,54,5414
سرایدار پست کیلو ولت,9,54,5414
سرایداراردوگاه,9,54,5414
سرایدارخوابگاه,9,54,5414
سرایدارمدرسه,9,54,5414
سرایدارمسجد,9,54,5414
سرایدارنگهبان,9,54,5414
سرایدارون?هبان,9,54,5414
سرایدارونگهبان کارگاه تیربتونی,9,54,5414
سرایداری خانه بهداشت,9,54,5414
سرایه داری,9,54,5414
ساربانی,8,61,6121
سمنت کار,7,71,7114
سمپاش ساختمانی ایمنی,7,71,7133
سندبلاست کار ساختمان,7,71,7133
سنک ساب دستی وکله بر,7,71,7113
سنگ بلوک زن با دست,7,71,7113
سنگ تراش تزیین کار,7,71,7113
سنگ تراش تولید,7,71,7113
سنگ تراش درجه 2,7,71,7113
سنگ تراش درجه 3,7,71,7113
سنگ شکن سنگ تزئینی,7,71,7113
سنگ شکن وآسفالت کار,7,71,7113
سنگ فرش خیابان,7,71,7112
سنگ و نوردرن,7,71,7113
سنگ پز,7,71,7113
سنگ چسبان,7,71,7122
سنگ کار تخت,7,71,7112
سنگ کار و سنگ تراش استادکارارشدودرجه و,7,71,7113
سنگ کار پایه ساز,7,71,7112
سنگ کاردرجه,7,71,7113
سنگ کاردرجه یک,7,71,7113
سنگ کارفایبرگلاس,7,71,7113
سنگ کارها سنگ تراش ها سنگ شکن ها و سنگ تراش های تزیین کار ساختمانی,7,71,7113
سنگ گار,7,71,7113
سنگبرتونل,7,71,7113
سنگبری,7,71,7113
سنگبری وحمل وبارگیری,7,71,7113
سنگرچی,7,71,7111
سنگساب,7,71,7113
سنگکارمستقل,7,71,7113
سوندازکار اجربر کوتینگ زن,7,71,7112
سوهانکار وسنگ کار وتعمیرکار,7,71,7113
سوهانکار وسنگ کار وتعمیرکار درجه یک,7,71,7113
سیلرکار,7,71,7131
سیلوی خاک,7,71,7114
سیم بازکنی,7,71,7126
سیم بند,7,71,7114
سیم بند درجه 1,7,71,7114
سیم بند مشاغل سخت,7,71,7114
سیم بندوتحویل دهنده,7,71,7114
سیمان ساز,7,71,7123
سیمان کار دیوار,7,71,7123
سیمان کار چاه های نفت و گاز,7,71,7114
سیمان کشی,7,71,7123
سیمانکار,7,71,7123
سیمانکاری ساخنمان,7,71,7123
سیمانکاری موزاییک کاری,7,71,7114
شاتر,7,71,7114
شاموتکار,7,71,7112
شاگرد استاد کار ساخت و نصب پنجره دوجداره,7,71,7125
شاگرددیوارچینی,7,71,7112
شاگردمغازه درب وپنجره سازی دوجداره,7,71,7115
شاگردی بنایی,7,71,7111
شبکه گذار و ارماتوربندقالب,7,71,7114
شبکه گذاروآرماتوربندقالب تولید,7,71,7114
شمشه گر,7,71,7114
شمع کوب,7,71,7119
شناژکار ساختمان,7,71,7114
شوفا ژکار ساختمان,7,71,7126
شوفااژکار تعمیرات,7,71,7126
شوفاژکار,7,71,7126
شوفاژکاردرجه امورشهر,7,71,7126
شوفاژکارولوله کش,7,71,7126
شومینه ساز,7,71,7112
شیروانی ساز,7,71,7121
شیروانی فلزی ساز,7,71,7121
شیروانی کار,7,71,7121
شیروانی کاردرجه,7,71,7121
شیروانی کوب وکمک شیروانی کوب,7,71,7121
شیشه انداز,7,71,7125
شیشه بر,7,71,7125
شیشه بر ماهر,7,71,7125
شیشه بران,7,71,7125
شیشه بردار,7,71,7125
شیشه بردرجه,7,71,7125
شیشه بردرجه دو,7,71,7125
شیشه بردرجه یک,7,71,7125
شیشه برمرتبه,7,71,7125
شیشه بری وواشرکشی دوجداره,7,71,7125
شیشه خانه بندی,7,71,7125
شیشه زن,7,71,7125
شیشه زن انبار محصول,7,71,7125
شیشه لمینت,7,71,7125
شیشه نصب کن,7,71,7125
شیشه هوشمند,7,71,7125
شیشه گذاردرجه,7,71,7125
شیشه گیر دو جداره,7,71,7125
صاف نوار کاشی,7,71,7122
صافکارقطعات بتن ریزی,7,71,7114
صافکاروسنگ زن,7,71,7113
صافکاری موزائیک,7,71,7114
صفاف,7,71,7112
صفاف انبار,7,71,7112
صفاف کوره,7,71,7112
صفافی خشت,7,71,7112
صفافی درکوره آجر,7,71,7112
صیقل کار سنگ با ابزار یا نیروی دستی,7,71,7113
طراح نماکاری ساختمان,7,71,7131
عایق بند,7,71,7124
عایق کار اکوستیک,7,71,7124
عایق کار بام,7,71,7124
عایق کار صوتی,7,71,7124
عایق کاردرتوزیع سالن,7,71,7124
عایقهای رطوبتی,7,71,7124
علامتگذاروتعیین کننده خطمعدن,7,71,7119
عملیات ساختمانی فابریک ورافینری,7,71,7111
غواص پل های آبی,7,71,7119
فرش کننده ایزوگام,7,71,7124
فلشینگ کار,7,71,7121
فن ورز سازه و سیویل,7,71,7111
فن ورزساختمان وخطوط ریلی,7,71,7111
فورمن تاسیسات ساختمانی,7,71,7111
فورمن تعمیرات نسوزکارگاههای پشتیبانی,7,71,7111
فورمن تعمیرات نسوزکوره بلند,7,71,7111
فورمن تهویه,7,71,7111
فورمن داربست تعمیرات نواحی,7,71,7111
فورمن ساختمانهای اداری ورختکنها,7,71,7111
فورمن سیستم گرمایی,7,71,7111
فورمن شبکه اب اشامیدنی وصنعتی,7,71,7111
فورمن شبکه فاضلاب,7,71,7111
فورمن عمران مناطق عملیاتی,7,71,7111
فورمن فنکوئل,7,71,7127
فورمن فنی تهویه,7,71,7127
فورمن نت ریل و ابنیه,7,71,7111
فورمن نصب مخازن و بتن مواد عایق,7,71,7124
فورمن نوسازی,7,71,7111
فورمن نگهداری جاده و جویها,7,71,7111
فورمن واحد رنگ پروژه ها,7,71,7131
فورمن گازرسانی,7,71,7126
فینی شر اسفالت,7,71,7114
قاب بند داخل تونل,7,71,7114
قالب بتون,7,71,7114
قالب بند بتون و سیمان,7,71,7114
قالب بند بتونریز باطری,7,71,7114
قالب بند بخش تجهیز و نوسازی,7,71,7114
قالب بند درجه 1,7,71,7114
قالب بند ماشین آلات,7,71,7114
قالب بند نسوز فولادسازی,7,71,7112
قالب بند پرس روغنی,7,71,7114
قالب بندسالن تولید,7,71,7114
قالب بندسبک و,7,71,7114
قالب بندلوله های بتنی,7,71,7114
قالب بندوآزمایشگرنمونه های بتون,7,71,7114
قالب بندکوره نسوزچین,7,71,7112
قالب کارموزائیک,7,71,7122
قالببند درجه 3,7,71,7114
قالببند مرتبه,7,71,7114
قالببندبتونریزمیز,7,71,7114
قالببندوبتن ریزخطتولید,7,71,7114
قالبند,7,71,7114
قالبنددرجه,7,71,7114
قالبندوبتن ریز,7,71,7114
قالبندوراه اندازی,7,71,7114
قالبکار,7,71,7114
قرنیزبر,7,71,7123
قرنیزکار ساختمان,7,71,7123
قسمت تاسیسات,7,71,7126
قسمت ساختمانی,7,71,7111
قسمت مکانیکی لوله کشی درجه و و,7,71,7126
قسمت نقاشی,7,71,7131
قسمت کوره مسئول لوله کش,7,71,7126
قفسه بند,7,71,7115
قفسه زن,7,71,7115
قله بر,7,71,7113
قله بر استادکار,7,71,7113
قله بر ساب نواری,7,71,7113
قله بر ساب کار طولی بر,7,71,7113
قله بر فرزکار,7,71,7113
قله برچی,7,71,7113
قله برچی ـوسط کار,7,71,7113
قیر پاشی جاده,7,71,7132
قیرزن,7,71,7121
قیرزن ارشد,7,71,7121
قیرزن درجه 3,7,71,7121
قیرزن و قیر پاش,7,71,7132
قیرپاش,7,71,7132
