id,title_norm,label_1,isco_sub_major_group
0.0,#name,9,
1.0,bzsمسئول خط کیک شوئی,8,
2.0,cnc اپراتور برش,8,
5.0,cncاپراتور,8,
7.0,cngکار,8,
9.0,cpp اپراتور تصفیه خانه و,8,
11.0,cut off اپراتور,8,
13.0,edje miller اپراتور,8,
14.0,edje trimmer اپراتور,8,
17.0,final اپراتور,8,
20.0,hfاپراتور,8,
24.0,laser اپراتور نگهداری,8,
27.0,marker اپراتور,8,
29.0,mdf`اپراتورفیبرروکش,8,
32.0,mek اپراتور واحد,8,
33.0,opm اپراتور مکنده و تعمیر و نگهداری,8,
40.0,rayاپراتور,8,
42.0,rework اپراتور,8,
44.0,sample cutاپراتور,8,
45.0,sbfاپراتور دستگاه,8,
50.0,woma راننده واپراتور,8,
51.0,èں©¬ëں ê«‍یé,9,
55.0,آب جمع کن,9,
56.0,آب حوضی,9,
57.0,آب دادن,9,
59.0,آب شور,9,
60.0,آب غوره گیر,9,
61.0,آب فاضلاب کارگراپراتورتصفیه آب,8,
64.0,آب لیموگیر,9,
68.0,آب و فاضلاب روستایی,9,
71.0,آب گیر سانتریفوژ چرم سازی دستی,8,
72.0,آبادی,9,
75.0,آببر,9,
79.0,آبدار,9,
80.0,آبدار شرکت پیمانکاری اداره آب,9,
81.0,آبدار محل,9,
82.0,آبدارچی امور مهندسی,9,
83.0,آبدارچی بخش منابع انسانی,9,
84.0,آبدارچی تلمبه خانه اصفهان,9,
85.0,آبدارچی شرکت آلومینیومی,9,
86.0,آبدارچی شهرداری طبقده,9,
87.0,آبدارچی مخازن صادراتی ماهشهر,9,
88.0,آبدارچی ناحیه آهن سازی,9,
89.0,آبدارچی ناحیه فولادسازی,9,
90.0,آبدارچی و نظافت,9,
91.0,آبدارچی و نظافتچی دفتر تهران,9,
92.0,آبدارچی وتحصیلدار چایچی,9,
93.0,آبدارچی ونامه رسان,9,
94.0,آبدارچی کشاورزی,9,
95.0,آبدراچی,9,
97.0,آبرسان,9,
98.0,آبرسان چدن ریزی,9,
99.0,آبرسان کوره بلند,9,
100.0,آبروت پاک کن,9,
103.0,آبمیوه گیر,8,
104.0,آبنبات ریز,8,
121.0,آبگیری,9,
138.0,آترکار,8,
139.0,آتش انداز,8,
163.0,آتش کار دیگ های بخار,8,
164.0,آتش کار معدن,8,
181.0,آجربارکن,9,
182.0,آجربده,9,
183.0,آجربر,9,
185.0,آجرجینی,9,
186.0,آجردار,9,
187.0,آجردربیار,9,
190.0,آجرشور,9,
206.0,آجرکش کوره آجرپزی دستی,9,
210.0,آجیل پز,8,
211.0,آخال گیر,9,
236.0,آردبرنج کوب,8,
238.0,آردگیر,8,
247.0,آرماتور بند خط تولید,8,
262.0,آزاد,9,
309.0,آسانسورچی,8,
324.0,آسیاب سیمان کوره,8,
325.0,آسیاب ضایعات خمیر,8,
326.0,آسیاب ضایعات پلاستیک,8,
328.0,آسیاب چوب,8,
329.0,آسیاب کار خرد کن کولر,8,
330.0,آسیاب کن ونایلون خرده,8,
331.0,آسیابان با دستگاه,8,
334.0,آسیابکارپلاستیک سازی,8,
339.0,آشغال گرد برای مواد بازیافتی,9,
340.0,آشغالی,9,
390.0,آغشته ساز,8,
391.0,آغشته کردن چسب به پوشال وازمایشگاه,9,
409.0,آماده ساز,8,
410.0,آماده ساز آماده ساز تختال و تعمیرات,8,
411.0,آماده ساز بدنه مشعل مشعل کار,8,
412.0,آماده ساز تجهیزات قدرت,8,
413.0,آماده ساز تعمیرات کوره های قوس الکتریکی,8,
414.0,آماده ساز تولید عملیات ثانویه,8,
415.0,آماده ساز تولید فولاد,8,
416.0,آماده ساز جرثقیلهای سقفی نورد سرد,8,
417.0,آماده ساز خدمات فنی و پشتیبانی نورد سرد,8,
418.0,آماده ساز خط اسید شویی,8,
419.0,آماده ساز خط باکس آنیلینگ و بازپخت الکترولیتی,8,
420.0,آماده ساز خط باکس آنیلینگو بازپخت هیدروژنی,8,
421.0,آماده ساز خطوط نهایی,8,
422.0,آماده ساز خطوط نورد,8,
424.0,آماده ساز عملیات ثانویه,8,
425.0,آماده ساز قطعه مشعل کار,8,
426.0,آماده ساز قلع اندود،برش،بسته بندی و ارسال,8,
427.0,آماده ساز ماشینهای دوار و عمومی نواحی,8,
428.0,آماده ساز مرکز تعمیرات نسوز,8,
429.0,آماده ساز مواد چاک و لاک,8,
430.0,آماده ساز نسوز سایر نواحی,8,
431.0,آماده ساز نمونه,8,
432.0,آماده ساز نورد دو قفسه ای,8,
433.0,آماده ساز و بسته بند انواع شور و ترشی,8,
434.0,آماده ساز و بسته بند فرآورده های کنجد نظیر ارده حلوا ارده و سایر محصولات سنتی,8,
435.0,آماده ساز و راننده لیفتراک انبار مواد و محصول و ضایعات bopet cpp,8,
