id,title_norm,label_1
0,کارگر قسمت پلاستیک سازی,8
1,کارشناس آزمایشگاه آب وفاضلاب,2
2,متصدی پشتیبانی,4
3,کارشناس آب و خاک,2
4,کارشناس تشریفات و مهمانان,2
5,کارشناس آزمایشگاه مایع ترمز و ضدیخ,2
6,معاون ا,1
7,کارشناس تصفیه پساب,2
8,کارشناس کتابداری,2
9,کارگردوماشینکاری تولید,7
10,کارگر تولید ارشد,8
11,کمک اپراتورکپسول پرکنی,8
12,تکنسین عملیات شیمیایی,3
13,تکنسین مکانیک الکتریکی,3
14,رئیس شعبه ممتاز الف رتبه دو,1
15,رییس بازاریابی مطالعه وتحلیل بازار,1
16,رییس بهبود روشها و تحلیل فرایندها,1
17,رییس تعمیرات مکانیک,1
18,رییس ذوب و b.m.d,1
19,کارگر کوره بخش باند,8
20,کارشناس بهره وری اب کشاورزی,2
21,مهندس بهره برداری پست برق,2
22,معدن هیرد,9
23,معاونت مالی و پشتیبانی,1
24,مهندس بازرسی ماشین آلات,2
25,کارشناس کمیته های متمرکز,2
26,کارشناس بهبود کیفیت فرآیند,2
27,اسفالت کار,7
28,تکنسین تعمیرات برق و الکترونیک نورد,3
29,حسابدار اعتبارات و پیمانها,2
30,حسابدار مسئول دانشکده ادبیات و علوم انسانی,2
31,حمل کننده کلاف رینگ ریسندگی,9
32,تکنسین حفاظت از زنگ و خوردگی,3
33,رییس اموال و انبارها,1
34,کارمند طراحی گرافیک,2
35,متصدی کنترل دستگاه جداسازی نفت و گاز طبیعی,8
36,کارشناس مسئول هکتاری,2
37,کاردان دارویی,3
38,کارشناس ارشد م حوزه وزیر,2
39,کاردان دفتر فنی نصب و راه اندازی,3
40,کارشناس ارشد امور ایمنی و بهداشت,2
41,کارشناس شبکه های اختصاصی,2
42,آهنگروجوشکارولوله کش درجه 2,7
43,کارگرمتخصص تعمیرات ماشین افزاروجرثقیل,7
44,کمک مسئول عدل بندی,9
45,اپراتور ارشد سیاهکاری,8
46,کمک راننده تنکاء,9
47,کمک راننده ماشین آلات راهسازی,9
48,تکنسین سرویس و نگهداری سیستمهای ارتباطی,3
49,تعمیرکاربرق دستگاههای ریسندگی,7
50,رئیس اداره اموزش و ارزشیابی,1
51,جوشکار برشکار آهنگر,7
52,جوشکاردرجه معدن,7
53,سایر متصدیان ماشین آلات و دستگاه های ثابت,8
54,سر اشپز,3
55,دریافت کالا,4
56,سرپرست مدیریت نگهداری و تعمیرات pm,3
57,سرشیفت واحدپالایش,3
58,متصدی مته حفاری به جز معدن,8
59,سوراخکارمدیریت تکمیلی وتزئینی,8
60,کاردان ساخت فیکسچر,3
61,مسئول انتظامات تصفیه خانه,5
62,کارشناس اموزش وترویج,2
63,کارشناس مسئول امور مالی اموال,2
64,کارشناس امورپرورشی وتربیت بدنی,2
65,کارشناس درآمد,2
66,کارگراپراتورتولیدفرمهای تهیه اجرنسوزسالن خط,8
67,کارگربرش,8
68,کارمند مخابرات,4
69,کارگزین ومتصدی ارزشیابی کارکنان,4
70,جوشکاری وتاسیسات ساختمانی,7
71,رئیس اداره نظارت و بررسی های فنی,1
72,راننده بالابر سنگین,8
73,رئیس توسعه و تحقیقات بازار,1
74,کارپرداز برش چرمی,3
75,معاون قالبسازی,1
76,کارشناس فنی تولید,2
77,کارشناس فنی حمل و نقل,2
79,کارگرنظافتچی کاردینگ,9
80,کارگرواحدتولیدالکل سازی,8
81,اپراتور بنبوری,8
82,اپراتور توربین واحد,8
83,کارگر کارخانه,9
84,کمک حسابدار,4
85,اپراتور دستگاه ساخت لوله فلزی,8
86,تکنسین مسوول مکانیک خودروهای سبک,3
87,بایگان درجه 1 قراردادها,4
88,رئیس اداره برنامه ریزی عملیاتی,1
89,رئیس نگهداری و تعمیرات جرثقیل ها,1
90,سرویس کارسالن خاک,7
91,سرپرست تراش کاری فلزات,3
92,شیفت فورمن تعمیرات برق و ابزاردقیق ناحیه انرژی و سیالات,3
93,صندوق چوبی ساز,7
94,کارشناس مسئول رایانه ارتباطات و اطلاعات,2
95,کارشناس مسئول کتابداری بخش امانات,2
96,مسئول نمایندگی,1
97,کارگر ترانسپورت تولید,9
98,کارگر انبار یک,9
99,کارشناس حقوقی و بازرسی ورسیدگی به شکایات,2
100,کارشناس ارشد پشتیبانی تدارکاتی,2
101,کارگرتولیدتیزه,8
102,کارگرخدمات فنی دولاتابی,8
103,اپراتور دستگاه پرکنی تینر,8
104,اپراتور دستگاه چرخاننده تکی ریسندگی,8
105,اپراتور دو پشم شویی,8
106,کنترل مراحل تولید کنترل کیفیت مراحل,3
107,کنترلر کیفی ارشد ماشینکاری,3
108,کنترلرارشدازمایش موتور,3
109,تکنولوژیست مامونگاری,3
110,رئیس اداره درجه 1 رتبه ممتاز,1
111,سرپرست خدمات پشتیبانی و آمار اطلاعات,3
112,متصدی امور نگهداری و تعمیرات دستگاههای ارتباطی,3
113,مدیر کل مطالعات و مقررات ارزی بانک مرکزی,1
114,مدیر کیفیت فروش و خدمات پس از فروش گروه خودروسازی,1
115,واحد ستاره دار مرکز توسعه اموزش و فناوری مسئول کارگاه سیروحرکت,3
116,معاون مدیرکل پشتیبانی و راه اندازی شبکه,1
117,کارشناس ارشد برنامه ریزی عملیاتی,2
118,کارشناس ارشد مدیریت اجرایی فروش وپروژه,2
119,کاردان برق تجهیزات اندازه گیری,3
120,واحد انبار فنی,4
121,کارشناس بازرگانی ارشد,2
122,معاون وزیرورئیس سازم,1
123,کارشناس مهندسی,2
124,کارگر خدمات فنی خودرو,7
125,کارگر خدماتی منزل,9
126,اداره امور ناوگان اداره کل راه اهن قم متصدی تعمیرات واگن,7
127,اپراتور دستگاه بطری پرکن شامپو,8
128,اپراتوری گیوتین,8
129,اپراتوروتعمیرکار تاسیسات,8
130,دوره گردموادخوراکی,5
131,ذوب ریز وجرثقیل چی ریخته گری,7
132,رئیس مرکز اجرای پروژه های تعمیراتی و اصلاحی,1
133,سرپرست واحد رنگ آمیزی,3
134,فنی کار,7
135,مسئول بخش کنترل تولید و تغذیه خطوط رودری داشبورد تندر و ایساکو,3
136,متصدی دستگاه های تولید محصولات مواد معدنی,8
137,سر آشپز,3
138,کارگر سه غلطکی,8
139,کارشناس محاسبات اسناد,2
140,کاردان برنامه ریزی و انبار,3
141,کارشناس پشتیبانی و هماهنگی صادرات,2
142,کارشناس تاسیسات سرمایش و تهویه مطبوع,2
143,مامورحفاظت فیزیکی,5
144,کارگر فنی جوشکار اسکلت,7
145,آرماتور بندساختمان,7
146,آنالسیت خرید مواد اولیه و انرژی,2
147,انباردارتوزینماولیهسدیملوریل انباربهداشت,4
148,برنامه ریزی صنایع,2
149,بناء درجه 2,7
150,تکنیسین شیفت آزمایشگاه کانه آرایی خطوط,3
151,تکنیسین فنی سفارشات خرید,3
152,رئیس اموال و انبارها,1
153,رئیس بازاریابی مطالعه وتحلیل بازار,1
154,راننده لیفتراک در بخش ارسال,8
155,مدیرکل راهبرد شبکه و فناوری اطلاعات,1
156,مدیریت ساخت,1
157,مراقبت کار دیگ بخار,8
158,رئیس بهبود روشها و تحلیل فرایندها,1
159,مسئول امورپرسنلی,3
160,متصدی چرخ دوخت روکش مبل صنعتی,8
161,معامله گری,3
162,مکانیک موتور جت,7
163,کارشناس تحلیل اطلاعات خدمات,2
164,مسیول دفتر قایم مقام اجرایی مدیر عامل,3
165,کارگر نصب,7
166,کارگر پخت و سردخانه,9
167,کمک تعمیرکارفنی,9
168,آسیاب خلال,8
169,آماده ساز بسته بندی بارگیری و ارسال,9
170,اپراتورانتی بیوتیک بسته بندی,8
171,تحویل سوخت,8
172,تکنسین ارشد سنگ کار تعمیر و نگهداری,7
173,داربست بند ساختمان,7
174,تعمیرات برق ذوب,7
175,تعمیرکار تجهیزات مخابراتی,7
176,رئیس زیرساخت فن آوری اطلاعات,1
177,رئیس شعبه درجه یک الف,1
178,رییس تولید اجزا و مجموعه سازی,1
179,رییس دبیرستان,1
180,مهندس تعمیرات بخش نیروگاه,2
181,کارشناس بهداشت کار صنعتی,2
182,کارشناس برنامه ریزی قطعات جانبی موتور,2
183,مهندس تعمیرات دوار,2
184,کارشناس تعمیرات والوها,2
185,کارشناس برنامه ریزی نیروی انسانی و پرداخت ها بخش منابع انسانی,2
186,کاردان نظارت و آزمایش و تحویل سیستمهای مخابراتی,3
187,چرخکارارشد استادکارارشدقیچی ونیبلر,7
188,منشی بخش بیمارستان یا کلینیک,4
189,کارشناس مسئول حسابداری مالیاتی,2
190,کارشناس تولید و تکمیل موکت,2
191,کارشناس بهبود کیفیت و اعتباربخشی,2
192,کارشناس مسئول بهداشت دهان ودندان دندانپزشک,2
193,کارگرارشدودرجه وتولیدمرغ نیمچه گوشتی,6
194,کارگراستخر,9
195,کارمند خدماتی و دفتری,4
196,کمک انباردار محصول _ بازار داخلی,9
197,اشپزدرجه یک موقت فصلی,5
198,گروه بازرگانی و بازاریابی اداره کل راه اهن شرق کارشناس مسئول بازر,2
199,کارگرحمل ونقل انبار مواد,9
200,تکنسین تعمیرات پیشگیری ناحیه انرژی و سیالات,3
201,حسابدار و مسئول اموال کارشناس,2
202,حسابدار_کمتر از لیسانس,3
203,حفارتی وآر معدن,8
204,تراشکار,7
